density,repetition,seed,algorithm,runtime_seconds,betti_number
0.1,137,138,recursive_basis,0.0005498000246006995,0
0.1,138,139,general,0.007369400002062321,0
0.1,138,139,recursive_basis,0.0005146999901626259,0
0.1,138,139,recursive_no_basis,0.0004670000053010881,0
0.1,139,140,recursive_basis,0.000624599982984364,0
0.1,139,140,recursive_no_basis,0.000540899985935539,0
0.1,139,140,general,0.01211809998494573,0
0.1,140,141,recursive_no_basis,0.0005238999729044735,0
0.1,140,141,general,0.009681900002760813,0
0.1,140,141,recursive_basis,0.0005732999998144805,0
0.1,141,142,general,0.008108300011372194,0
0.1,141,142,recursive_basis,0.0005736000020988286,0
0.1,141,142,recursive_no_basis,0.0007459000044036657,0
0.1,142,143,recursive_basis,0.000516200001584366,0
0.1,142,143,recursive_no_basis,0.00355880000279285,0
0.1,142,143,general,0.011392500018700957,0
0.1,143,144,recursive_no_basis,0.0004993999900761992,0
0.1,143,144,general,0.007237199984956533,0
0.1,143,144,recursive_basis,0.0005293999856803566,0
0.1,144,145,general,0.007358900009421632,0
0.1,144,145,recursive_basis,0.0006883999740239233,0
0.1,144,145,recursive_no_basis,0.0005268999957479537,0
0.1,145,146,recursive_basis,0.0008596000261604786,0
0.1,145,146,recursive_no_basis,0.0004956999910064042,0
0.1,145,146,general,0.008514499990269542,0
0.1,146,147,recursive_no_basis,0.0005122000002302229,0
0.1,146,147,general,0.01006739999866113,0
0.1,146,147,recursive_basis,0.0005595000111497939,0
0.1,147,148,general,0.009044400008860976,0
0.1,147,148,recursive_basis,0.0007379000016953796,0
0.1,147,148,recursive_no_basis,0.0011713000130839646,0
0.1,148,149,recursive_basis,0.0006194000015966594,0
0.1,148,149,recursive_no_basis,0.0005103999865241349,0
0.1,148,149,general,0.007369700004346669,0
0.1,149,150,recursive_no_basis,0.000519299996085465,0
0.1,149,150,general,0.012221500015584752,0
0.1,149,150,recursive_basis,0.0009229000133927912,0
0.1,150,151,general,0.007346500002313405,0
0.1,150,151,recursive_basis,0.0005099000118207186,0
0.1,150,151,recursive_no_basis,0.000525799987372011,0
0.1,151,152,recursive_basis,0.00376029999461025,0
0.1,151,152,recursive_no_basis,0.0005652999971061945,0
0.1,151,152,general,0.006241800001589581,0
0.1,152,153,recursive_no_basis,0.0004936000041197985,0
0.1,152,153,general,0.011883699975442141,0
0.1,152,153,recursive_basis,0.0005939999828115106,0
0.1,153,154,general,0.0068903999926988035,0
0.1,153,154,recursive_basis,0.0005176999839022756,0
0.1,153,154,recursive_no_basis,0.0005063999851699919,0
0.1,154,155,recursive_basis,0.000519900000654161,0
0.1,154,155,recursive_no_basis,0.0004913999873679131,0
0.1,154,155,general,0.011365999991539866,0
0.1,155,156,recursive_no_basis,0.0005088000034447759,0
0.1,155,156,general,0.01151799998478964,0
0.1,155,156,recursive_basis,0.0005707999807782471,0
0.1,156,157,general,0.006916900019859895,0
0.1,156,157,recursive_basis,0.0005557999829761684,0
0.1,156,157,recursive_no_basis,0.00052299999515526,0
0.1,157,158,recursive_basis,0.0037293999921530485,0
0.1,157,158,recursive_no_basis,0.0005369000136852264,0
0.1,157,158,general,0.011730199999874458,0
0.1,158,159,recursive_no_basis,0.0005524000152945518,0
0.1,158,159,general,0.008958400023402646,0
0.1,158,159,recursive_basis,0.0005855000053998083,0
0.1,159,160,general,0.006911300006322563,0
0.1,159,160,recursive_basis,0.0005779000057373196,0
0.1,159,160,recursive_no_basis,0.0004911999858450145,0
0.1,160,161,recursive_basis,0.0004872000135947019,0
0.1,160,161,recursive_no_basis,0.0005006999999750406,0
0.1,160,161,general,0.007119699992472306,0
0.1,161,162,recursive_no_basis,0.0005469000025186688,0
0.1,161,162,general,0.014135500008706003,0
0.1,161,162,recursive_basis,0.0006545000069309026,0
0.1,162,163,general,0.010286500008078292,0
0.1,162,163,recursive_basis,0.0006218999915290624,0
0.1,162,163,recursive_no_basis,0.0005193999968469143,0
0.1,163,164,recursive_basis,0.0006937000143807381,0
0.1,163,164,recursive_no_basis,0.0006492999964393675,0
0.1,163,164,general,0.006284800008870661,0
0.1,164,165,recursive_no_basis,0.0005525000160560012,0
0.1,164,165,general,0.013326699991011992,0
0.1,164,165,recursive_basis,0.0005807999987155199,0
0.1,165,166,general,0.009479700005613267,0
0.1,165,166,recursive_basis,0.0005350999999791384,0
0.1,165,166,recursive_no_basis,0.0005077000241726637,0
0.1,166,167,recursive_basis,0.000505700008943677,0
0.1,166,167,recursive_no_basis,0.0034110999840777367,0
0.1,166,167,general,0.007831199996871874,0
0.1,167,168,recursive_no_basis,0.0005009000014979392,0
0.1,167,168,general,0.008225600002333522,0
0.1,167,168,recursive_basis,0.0005222999898251146,0
0.1,168,169,general,0.006795499997679144,0
0.1,168,169,recursive_basis,0.0006603000219911337,0
0.1,168,169,recursive_no_basis,0.0006763999990653247,0
0.1,169,170,recursive_basis,0.0005338999908417463,0
0.1,169,170,recursive_no_basis,0.00047820000327192247,0
0.1,169,170,general,0.006685300002573058,0
0.1,170,171,recursive_no_basis,0.0004746000049635768,0
0.1,170,171,general,0.009796700003789738,0
0.1,170,171,recursive_basis,0.0006280000088736415,0
0.1,171,172,general,0.009575899981427938,0
0.1,171,172,recursive_basis,0.0005685999931301922,0
0.1,171,172,recursive_no_basis,0.0005624000041279942,0
0.1,172,173,recursive_basis,0.000600200000917539,0
0.1,172,173,recursive_no_basis,0.0005107999895699322,0
0.1,172,173,general,0.007713400002103299,0
0.1,173,174,recursive_no_basis,0.0005916999944020063,0
0.1,173,174,general,0.01021279999986291,0
0.1,173,174,recursive_basis,0.0007169999880716205,0
0.1,174,175,general,0.007045800011837855,0
0.1,174,175,recursive_basis,0.0005456999933812767,0
0.1,174,175,recursive_no_basis,0.0008679000020492822,0
